feature,mean,std
0,2.697861,23.722757
1,-8.308963,7.855040
2,-15.643666,6.495022
3,-23.700754,7.237227
4,-27.426306,3.437675
5,-26.770578,3.836087
6,-22.958464,2.732802
7,-24.368523,2.506649
8,-24.610188,2.179189
9,-23.772564,2.219815
10,-22.326933,1.987595
11,-21.614473,1.907180
12,-20.182808,1.949641
13,3.119649,10.419677
14,4.194252,12.278087
15,4.386239,14.677795
16,3.950840,10.740949
17,3.436665,10.400774
18,3.667374,10.367068
19,3.498564,12.022406
20,3.284419,10.135622
21,3.302897,11.026237
22,3.608727,12.270268
23,3.537486,10.084258
24,3.483476,10.158826
25,3.181631,11.010681
26,0.324095,16.048077
27,0.679101,18.542276
28,0.607634,18.783838
29,-18.259525,19.199558
30,-33.924332,35.172298
31,-25.545965,20.607273
32,-0.949247,18.424229
33,-1.630366,18.076250
34,-1.203906,17.513138
35,-0.886982,20.059326
36,-0.489308,16.641321
37,-0.352928,17.240446
38,0.029072,16.170179
39,0.366045,0.091593
40,0.047374,0.024943
41,2.153094,0.416093
42,919.379944,401.524506
43,1685.557007,1253.469849
44,1331.726318,439.596191
45,0.145632,0.077505
46,0.420067,0.234189
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,762.573792,412.697144
61,745.483582,401.272980
62,756.764648,416.750092
63,764.285828,409.902283
64,776.274780,428.749512
65,767.480591,411.265198
66,753.489929,406.052551
67,763.995483,421.878479
68,757.967224,409.468048
69,739.874695,397.358978
70,750.790955,412.570374
71,760.372498,408.002594
72,771.537537,425.982239
73,1313.261475,714.267212
74,1282.320923,693.289917
75,1301.590576,719.292480
76,1315.692139,709.668518
77,1336.304199,740.850708
78,1321.568237,712.054260
79,1297.031006,701.539124
80,1315.939331,729.449036
81,1305.443604,707.980591
82,1273.313110,686.092285
83,1292.866821,714.170654
84,1309.105225,706.425781
85,1329.016724,736.144897
86,0.050082,0.024153
87,0.007198,0.007068
88,0.135576,0.106621
89,74.024376,62.214417
90,221.011627,259.713348
91,84.816841,40.253246
92,0.016613,0.009695
93,0.187574,0.143782
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.009287,0.041391
108,0.011351,0.042065
109,0.014166,0.045161
110,0.007242,0.037309
111,0.010804,0.035460
112,0.011340,0.029974
113,0.010440,0.045509
114,0.009214,0.031650
115,0.006140,0.032383
116,0.010235,0.043507
117,0.009167,0.032610
118,0.010086,0.040635
119,0.010055,0.032975
120,-1.232332,0.098795
121,-1.244073,0.098801
122,-1.246663,0.101042
123,-1.180650,0.106889
124,-1.198606,0.118677
125,-1.190326,0.101369
126,-1.231199,0.100980
127,-1.234207,0.099905
128,-1.236420,0.099109
129,-1.248180,0.100874
130,-1.255229,0.102760
131,-1.221105,0.100092
132,-1.227408,0.102213
133,0.216888,0.708685
134,0.527953,1.244138
135,0.387055,0.617853
136,0.296202,0.549192
137,0.118490,1.449226
138,0.177565,0.485861
139,0.238415,0.458816
140,1.126172,0.820638
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.724908,0.989518
155,1.800684,0.986811
156,1.842556,1.008433
157,1.576631,0.951412
158,1.657778,1.009991
159,1.625976,0.939878
160,1.728174,0.985988
161,1.746605,0.986234
162,1.751344,0.972412
163,1.848302,0.977175
164,1.890252,1.014808
165,1.637380,0.958321
166,1.695243,1.014189
167,1.793659,0.982603
168,1.884295,0.981947
169,1.922139,1.009168
170,1.582144,0.958371
171,1.616532,0.999664
172,1.597924,0.945890
173,1.797942,0.988487
174,1.812999,0.987315
175,1.820376,0.979579
176,1.921659,0.983862
177,1.970881,1.028546
178,1.709704,0.956241
179,1.765820,1.018380
180,-0.264268,1.266629
181,1.670508,4.504709
182,0.276896,1.527941
183,0.032616,1.613235
184,1.974178,7.065314
185,-0.084756,1.274917
186,-0.078745,1.282770
187,2.991222,3.884824
188,75.345161,113.742386
189,1.224564,4.650877
190,0.164605,0.321218
191,0.774088,0.083852
192,0.025170,0.036358
