feature,mean,std
0,3.491131,12.144455
1,-8.340001,7.819781
2,-15.745577,6.389577
3,-23.732676,7.242168
4,-27.534227,3.351356
5,-26.829172,3.778900
6,-22.968307,2.624385
7,-24.455103,2.304993
8,-24.599697,1.994177
9,-23.770260,2.067217
10,-22.371391,1.887935
11,-21.565073,1.798124
12,-20.221769,1.827689
13,3.396270,12.650126
14,4.017004,12.167835
15,4.230432,14.456811
16,3.958763,10.792683
17,3.335397,10.024837
18,3.429394,9.667780
19,3.191131,10.168477
20,3.166121,9.715951
21,3.296533,10.369155
22,3.747222,12.803052
23,3.634945,10.182191
24,3.689922,10.769878
25,3.433939,11.561922
26,0.629151,17.370787
27,0.364870,18.717232
28,0.349338,18.664619
29,-18.259005,19.508207
30,-33.827850,34.896065
31,-25.787294,20.361284
32,-1.265121,16.503201
33,-1.864278,16.879557
34,-1.348136,17.436419
35,-0.310426,19.753176
36,0.199348,15.871955
37,0.077559,17.211214
38,-0.161294,18.359659
39,0.364451,0.092959
40,0.047331,0.024172
41,2.180157,0.430264
42,919.932800,401.506195
43,1679.290771,1250.412476
44,1335.280762,440.077698
45,0.145687,0.078270
46,0.414266,0.227508
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,763.116760,412.941742
61,744.410950,400.226044
62,756.663696,416.589691
63,763.835693,409.152283
64,776.084717,428.446686
65,767.599670,410.022888
66,753.379028,404.110870
67,764.136047,421.360840
68,758.055603,408.672668
69,739.484009,396.622925
70,750.075317,411.841858
71,759.819580,407.007202
72,771.795410,426.577667
73,1313.654053,713.353394
74,1280.778809,691.304321
75,1301.503296,718.985535
76,1314.753296,708.239319
77,1336.061768,740.512512
78,1321.939697,710.256470
79,1297.251709,699.189941
80,1316.162964,728.997559
81,1305.697510,707.352234
82,1272.297485,684.459229
83,1291.574463,712.649048
84,1307.856812,704.305847
85,1329.142944,737.444702
86,0.048896,0.023011
87,0.007192,0.006819
88,0.137085,0.105524
89,73.892464,61.254730
90,230.373398,276.455750
91,85.298546,41.040565
92,0.016713,0.010097
93,0.183148,0.130098
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.011148,0.047355
108,0.009756,0.034853
109,0.014816,0.043932
110,0.008437,0.036073
111,0.010734,0.031094
112,0.011528,0.027264
113,0.010057,0.039952
114,0.010326,0.031243
115,0.005689,0.027077
116,0.011607,0.044489
117,0.009310,0.029983
118,0.010632,0.039852
119,0.010963,0.038045
120,-1.233356,0.100430
121,-1.246627,0.098256
122,-1.250459,0.104932
123,-1.183100,0.105910
124,-1.200711,0.122217
125,-1.192491,0.105321
126,-1.233266,0.102646
127,-1.237273,0.106538
128,-1.238868,0.100193
129,-1.250751,0.099645
130,-1.259534,0.106588
131,-1.223547,0.098429
132,-1.229505,0.106222
133,0.179567,0.697798
134,0.499464,1.238078
135,0.352423,0.618183
136,0.299643,0.570167
137,0.170530,1.455173
138,0.185899,0.502024
139,0.247438,0.463970
140,1.108243,0.794204
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.742529,1.007466
155,1.815843,0.993444
156,1.885191,1.097380
157,1.598242,0.971364
158,1.678444,1.069443
159,1.655299,1.014359
160,1.750792,1.024310
161,1.785048,1.105128
162,1.769072,1.003809
163,1.868141,0.995269
164,1.926548,1.106228
165,1.653933,0.971822
166,1.715147,1.087361
167,1.811407,1.009506
168,1.899606,0.993124
169,1.962407,1.097181
170,1.603227,0.973426
171,1.636360,1.049008
172,1.625132,1.016005
173,1.818523,1.020651
174,1.850736,1.105966
175,1.838654,1.004168
176,1.943906,0.998895
177,2.010291,1.118542
178,1.728824,0.969297
179,1.787620,1.101992
180,-0.286773,1.232201
181,1.573242,4.305945
182,0.241698,1.499354
183,0.092874,1.689335
184,2.102298,7.566107
185,-0.049186,1.342202
186,-0.052686,1.158918
187,2.870468,3.636944
188,73.025764,113.313782
189,1.120226,4.408382
190,0.163883,0.327671
191,0.770503,0.087413
192,0.024883,0.035807
