feature,mean,std
0,3.892680,11.713029
1,-8.512068,7.868829
2,-15.787422,6.446610
3,-23.789326,7.195757
4,-27.532335,3.354709
5,-26.831343,3.737082
6,-22.981363,2.642729
7,-24.533306,2.263486
8,-24.583490,2.047701
9,-23.768669,2.073534
10,-22.397171,1.872468
11,-21.608997,1.768893
12,-20.199318,1.796779
13,3.185294,11.715428
14,4.180048,12.890240
15,4.547924,15.647751
16,3.752994,10.957485
17,2.951550,8.921491
18,3.203086,9.397010
19,3.402664,11.844620
20,2.960284,9.135107
21,2.868930,8.770967
22,3.650951,13.089913
23,3.874207,13.281441
24,3.542605,10.331425
25,3.039320,10.458308
26,0.891546,15.438004
27,0.628855,19.399315
28,0.429386,21.500904
29,-18.754393,20.443375
30,-34.984905,36.281036
31,-26.108011,20.115799
32,-1.183164,18.018532
33,-2.701099,18.711020
34,-2.214447,17.360348
35,-0.981593,20.811407
36,-0.259284,18.931200
37,-0.793702,17.757446
38,-0.484204,16.653919
39,0.365837,0.089694
40,0.046715,0.022131
41,2.155796,0.411323
42,927.865845,393.399902
43,1703.844482,1255.093384
44,1344.495483,438.704437
45,0.146093,0.075837
46,0.405944,0.223975
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,770.980408,414.180237
61,752.800964,400.885773
62,765.296143,419.084015
63,772.765137,411.364258
64,784.677307,430.460266
65,775.748169,412.387634
66,761.308044,405.682709
67,773.781311,424.100800
68,766.207275,409.845795
69,748.052612,397.473785
70,759.055176,415.144165
71,768.612122,407.971893
72,781.361084,429.200806
73,1327.727783,716.003784
74,1295.021240,692.209656
75,1316.126587,723.023376
76,1330.418579,711.812439
77,1351.466064,744.443542
78,1336.328491,714.397095
79,1310.604614,701.123718
80,1333.110352,734.120117
81,1320.217285,709.527771
82,1287.296753,685.668701
83,1306.638428,716.723450
84,1323.324707,706.241760
85,1346.230225,742.479797
86,0.050278,0.024344
87,0.007202,0.006819
88,0.131574,0.094723
89,75.053177,63.238335
90,222.553162,267.418396
91,85.041222,40.880470
92,0.016959,0.010314
93,0.180991,0.139861
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.009074,0.040971
108,0.010878,0.038886
109,0.014444,0.044895
110,0.007832,0.028688
111,0.009991,0.027778
112,0.011055,0.025904
113,0.010550,0.040735
114,0.009637,0.029795
115,0.005227,0.026346
116,0.010938,0.043258
117,0.010232,0.033030
118,0.010124,0.037585
119,0.009831,0.027515
120,-1.231140,0.096488
121,-1.244137,0.097131
122,-1.246903,0.101785
123,-1.180213,0.103091
124,-1.198261,0.120538
125,-1.190407,0.100871
126,-1.229939,0.098694
127,-1.232973,0.102652
128,-1.234979,0.096292
129,-1.247906,0.098948
130,-1.254783,0.104121
131,-1.218809,0.097700
132,-1.226725,0.103942
133,0.209820,0.698167
134,0.504316,1.249794
135,0.370707,0.624984
136,0.281673,0.567380
137,0.126096,1.470020
138,0.164675,0.505860
139,0.233939,0.478016
140,1.131178,0.785410
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.709708,0.972335
155,1.796713,0.975685
156,1.843109,1.054121
157,1.570994,0.938265
158,1.649329,1.041156
159,1.631368,0.979449
160,1.718741,0.981943
161,1.747593,1.067283
162,1.740277,0.964121
163,1.846570,0.982491
164,1.891151,1.072310
165,1.620076,0.941400
166,1.689502,1.064003
167,1.779182,0.968756
168,1.879539,0.975830
169,1.922800,1.055895
170,1.575065,0.942838
171,1.604967,1.019525
172,1.599626,0.979098
173,1.786600,0.979496
174,1.809094,1.066550
175,1.804010,0.962035
176,1.918523,0.983024
177,1.971078,1.083732
178,1.690460,0.941426
179,1.758608,1.078890
180,-0.292578,1.235222
181,1.654063,4.206979
182,0.272443,1.511180
183,0.065922,1.621314
184,2.146179,6.808565
185,-0.059350,1.340876
186,-0.054075,1.245098
187,2.971683,3.495622
188,82.192261,115.459900
189,1.251469,4.529565
190,0.186127,0.345594
191,0.780685,0.077339
192,0.023424,0.033512
