feature,mean,std
0,3.016377,23.611078
1,-8.313835,7.881988
2,-15.659120,6.450147
3,-23.756664,7.228001
4,-27.569305,3.518411
5,-26.772861,3.830731
6,-22.996803,2.734107
7,-24.461384,2.441225
8,-24.583782,2.214212
9,-23.749779,2.165772
10,-22.389654,1.997993
11,-21.602461,1.934651
12,-20.160061,1.937784
13,3.060948,11.311860
14,4.238463,12.672686
15,4.790685,16.714109
16,4.101643,11.593684
17,3.251281,9.870201
18,3.443803,9.583981
19,3.449883,10.787813
20,3.397832,9.979198
21,3.547832,11.388002
22,3.876905,13.244613
23,3.708460,12.967180
24,3.672077,11.005208
25,3.480635,12.000943
26,0.055959,16.914988
27,0.486117,19.324707
28,0.845420,22.093182
29,-18.611334,20.873648
30,-35.531353,37.429314
31,-26.336134,21.532013
32,-1.089974,17.420513
33,-1.691631,17.739208
34,-1.233786,18.396254
35,-0.350051,20.598259
36,0.033113,18.080416
37,0.073606,16.903233
38,0.202645,18.056177
39,0.368753,0.091883
40,0.046585,0.023881
41,2.151483,0.417992
42,913.888977,398.523163
43,1671.289062,1244.644775
44,1328.100830,442.696075
45,0.144001,0.077260
46,0.402922,0.209368
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,759.379211,413.706329
61,740.797241,400.224609
62,754.825134,420.491272
63,761.091919,410.733459
64,773.638062,430.686096
65,764.800110,412.307922
66,750.297241,404.516235
67,762.225830,423.758789
68,755.368103,409.749207
69,735.904419,397.214020
70,747.699280,414.246124
71,756.347290,407.467896
72,769.811340,429.135620
73,1307.756592,715.502747
74,1274.334229,691.296021
75,1297.626343,724.259766
76,1309.925659,710.575989
77,1331.984863,744.805481
78,1317.125610,714.272705
79,1291.518555,699.349426
80,1312.738159,733.565674
81,1300.614502,708.640686
82,1266.114380,685.555359
83,1287.212402,715.461853
84,1301.931274,704.633301
85,1325.595825,741.092346
86,0.048942,0.023964
87,0.007183,0.006998
88,0.132392,0.100500
89,71.721252,57.075741
90,220.901459,266.406799
91,83.312851,36.204853
92,0.016340,0.009024
93,0.177247,0.136175
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.009477,0.040621
108,0.009993,0.038446
109,0.014860,0.048163
110,0.008164,0.039712
111,0.010215,0.033140
112,0.011316,0.029902
113,0.010651,0.044598
114,0.009953,0.033929
115,0.006231,0.031506
116,0.010787,0.044615
117,0.009698,0.034490
118,0.009876,0.040332
119,0.011028,0.039791
120,-1.228356,0.096465
121,-1.242474,0.098312
122,-1.246971,0.103704
123,-1.178020,0.104631
124,-1.196478,0.121603
125,-1.187677,0.102794
126,-1.228869,0.100907
127,-1.232076,0.103646
128,-1.233963,0.096599
129,-1.247047,0.098840
130,-1.255527,0.104887
131,-1.219069,0.096851
132,-1.225073,0.104509
133,0.202300,0.700062
134,0.518060,1.200472
135,0.349950,0.630603
136,0.287256,0.567600
137,0.106701,1.484955
138,0.164139,0.507530
139,0.237024,0.469425
140,1.126217,0.806872
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.691767,0.939943
155,1.779140,0.965796
156,1.846302,1.061442
157,1.557534,0.927928
158,1.633636,1.023564
159,1.613546,0.965113
160,1.714226,0.987981
161,1.731541,1.053436
162,1.726552,0.941796
163,1.830631,0.969401
164,1.891943,1.066686
165,1.613165,0.933004
166,1.675044,1.051657
167,1.758694,0.938935
168,1.864249,0.966265
169,1.926844,1.061967
170,1.562363,0.934206
171,1.588627,1.000096
172,1.582583,0.966347
173,1.782352,0.986632
174,1.798985,1.054856
175,1.797366,0.945896
176,1.906780,0.970559
177,1.973558,1.078140
178,1.687254,0.927899
179,1.746300,1.064706
180,-0.280225,1.226809
181,1.494015,4.232625
182,0.242324,1.537758
183,0.074821,1.656957
184,2.187459,7.615444
185,-0.052893,1.346888
186,-0.064344,1.236416
187,3.085308,3.752807
188,78.106400,114.265419
189,1.248966,4.695406
190,0.176867,0.335345
191,0.779031,0.080731
192,0.022489,0.032276
