feature,mean,std
0,3.298358,23.605555
1,-8.409199,7.751194
2,-15.893379,6.358242
3,-23.834641,7.272093
4,-27.739548,3.497117
5,-26.850918,3.878515
6,-23.011646,2.736201
7,-24.446259,2.397819
8,-24.530764,2.175444
9,-23.809195,2.184392
10,-22.339382,2.041768
11,-21.558060,1.911986
12,-20.110378,1.957963
13,3.630692,12.343151
14,4.212238,11.895590
15,4.261893,13.794711
16,3.843656,10.917594
17,3.057497,9.185791
18,3.086165,8.795923
19,3.473595,12.148745
20,3.200320,9.927979
21,3.195860,9.867043
22,3.483427,11.972911
23,3.494727,9.335325
24,3.567540,10.456217
25,3.510097,10.649630
26,0.983717,16.797915
27,0.847347,17.923893
28,0.529657,17.634558
29,-18.436794,19.395908
30,-34.888824,33.576450
31,-26.540497,20.923691
32,-1.363116,18.817547
33,-2.068644,18.414978
34,-1.709322,17.745604
35,-0.652728,18.069941
36,0.009702,15.068982
37,-0.088034,16.348854
38,-0.137082,17.340126
39,0.369459,0.091593
40,0.046815,0.022760
41,2.155991,0.415529
42,920.993530,380.427704
43,1685.859375,1216.397949
44,1336.507080,431.424255
45,0.144989,0.074679
46,0.414084,0.222471
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,764.939819,404.238708
61,744.731262,388.743958
62,758.151917,407.443665
63,765.271851,400.186859
64,777.461914,418.390808
65,770.453186,403.839844
66,754.256470,394.799438
67,765.482239,411.485016
68,759.694397,399.800964
69,740.118469,386.055359
70,752.152588,403.719177
71,760.176697,396.354492
72,773.675415,417.109161
73,1316.618896,698.309998
74,1281.023926,671.847595
75,1304.161865,703.769409
76,1317.265747,692.690125
77,1338.883911,723.973328
78,1327.363037,699.695496
79,1298.221313,681.490723
80,1318.546387,711.541321
81,1308.588989,692.147461
82,1273.704468,666.994385
83,1295.338867,699.131287
84,1308.493530,686.006287
85,1332.428345,721.664612
86,0.047803,0.022904
87,0.006908,0.006194
88,0.131445,0.099454
89,71.150887,58.755547
90,214.794189,257.747833
91,83.565025,39.582489
92,0.016389,0.009425
93,0.183674,0.141620
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.010378,0.046455
108,0.011058,0.041112
109,0.013788,0.045448
110,0.008605,0.038993
111,0.009804,0.029017
112,0.010388,0.027495
113,0.011079,0.045591
114,0.009337,0.030389
115,0.005547,0.030252
116,0.011249,0.047597
117,0.009044,0.030653
118,0.011318,0.043076
119,0.010337,0.038678
120,-1.227135,0.097834
121,-1.240245,0.097936
122,-1.244829,0.102193
123,-1.176542,0.104622
124,-1.194839,0.122279
125,-1.186092,0.101147
126,-1.225531,0.100586
127,-1.230600,0.100999
128,-1.232254,0.097689
129,-1.244117,0.099000
130,-1.253651,0.104956
131,-1.214940,0.097680
132,-1.223224,0.103718
133,0.216871,0.681794
134,0.541705,1.191855
135,0.357902,0.626222
136,0.274337,0.547010
137,0.093473,1.362359
138,0.134714,0.494321
139,0.214822,0.466717
140,1.114517,0.819179
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.681524,0.972196
155,1.761851,0.968976
156,1.827411,1.045381
157,1.546039,0.938128
158,1.623185,1.034835
159,1.602675,0.967979
160,1.690102,0.987232
161,1.725438,1.038027
162,1.716488,0.964722
163,1.817119,0.962852
164,1.875449,1.065266
165,1.589375,0.931864
166,1.660442,1.052886
167,1.751976,0.972169
168,1.845832,0.968608
169,1.906472,1.047962
170,1.548707,0.943891
171,1.578089,1.014563
172,1.568709,0.970017
173,1.755707,0.987366
174,1.789620,1.039750
175,1.782941,0.966341
176,1.887588,0.963120
177,1.956851,1.081620
178,1.659029,0.931967
179,1.731094,1.067281
180,-0.279111,1.114695
181,1.546755,4.157062
182,0.264694,1.475346
183,0.042297,1.436189
184,1.772685,5.263270
185,-0.069138,1.346418
186,-0.078271,1.239506
187,2.984112,3.785647
188,85.783546,116.537437
189,1.133131,2.950115
190,0.198742,0.352925
191,0.779680,0.083974
192,0.022994,0.032662
