feature,mean,std
0,3.024121,23.690475
1,-8.417068,7.888352
2,-15.628786,6.348974
3,-23.785755,7.268371
4,-27.579983,3.454750
5,-26.751633,3.888713
6,-22.960861,2.760947
7,-24.467150,2.428643
8,-24.565712,2.176131
9,-23.731298,2.209404
10,-22.347084,2.051991
11,-21.582535,1.899430
12,-20.204319,1.997898
13,3.417327,12.150565
14,4.029337,11.971553
15,4.063004,14.227151
16,3.672804,10.609974
17,3.239763,9.394226
18,3.611051,9.853511
19,3.872467,12.436732
20,3.457718,10.277798
21,3.351135,9.849457
22,3.478601,11.453097
23,3.680645,10.059144
24,3.900141,11.587600
25,3.531975,11.004076
26,0.569077,16.724588
27,0.660382,17.539742
28,0.152622,18.353352
29,-19.044174,20.439444
30,-34.615818,35.320744
31,-25.548210,20.524014
32,-0.259080,17.917727
33,-1.579016,18.787804
34,-1.357874,17.370775
35,-0.732775,18.983952
36,-0.083874,16.384241
37,-0.011311,18.142918
38,-0.260528,18.321304
39,0.366051,0.092112
40,0.047253,0.023613
41,2.169326,0.426994
42,927.449524,398.206482
43,1697.470703,1254.284424
44,1346.543579,440.431549
45,0.146732,0.077607
46,0.412968,0.223142
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,769.350464,413.146301
61,751.294983,400.504028
62,762.847595,417.680328
63,770.677429,410.862427
64,782.828979,429.625641
65,774.360474,412.504913
66,759.057678,404.425995
67,771.142883,423.361816
68,764.205811,408.862457
69,746.246155,397.143005
70,756.495605,413.471924
71,766.479736,407.710571
72,779.036865,428.391022
73,1324.609131,714.059143
74,1292.551880,691.822144
75,1312.512451,720.947815
76,1326.926636,711.268372
77,1348.050537,743.405212
78,1333.496460,714.535706
79,1306.208008,698.183655
80,1328.027954,731.878113
81,1316.270508,707.861755
82,1284.391479,686.021729
83,1302.609619,715.418274
84,1318.971924,704.779663
85,1341.644287,740.630066
86,0.048925,0.023928
87,0.007306,0.007159
88,0.135818,0.106730
89,74.251717,62.665073
90,223.985733,265.742920
91,85.069016,40.574821
92,0.016791,0.010096
93,0.184477,0.140873
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.009536,0.045666
108,0.011027,0.040884
109,0.013410,0.044832
110,0.007698,0.038149
111,0.009073,0.030622
112,0.011332,0.028884
113,0.010846,0.045399
114,0.009565,0.032868
115,0.005632,0.030680
116,0.010774,0.046419
117,0.009126,0.032519
118,0.011776,0.045242
119,0.010311,0.038892
120,-1.229954,0.099449
121,-1.243182,0.097841
122,-1.247092,0.103198
123,-1.179271,0.105682
124,-1.197394,0.121008
125,-1.189635,0.103096
126,-1.229303,0.099996
127,-1.234707,0.103372
128,-1.234634,0.098026
129,-1.247456,0.100296
130,-1.254753,0.104780
131,-1.218049,0.097803
132,-1.225298,0.105002
133,0.222752,0.693261
134,0.525855,1.250089
135,0.363010,0.608284
136,0.283796,0.559563
137,0.126656,1.438607
138,0.157366,0.494149
139,0.245433,0.476314
140,1.104866,0.810204
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.709178,0.986138
155,1.788946,0.969446
156,1.850262,1.057310
157,1.567273,0.943906
158,1.645695,1.037732
159,1.622547,0.986184
160,1.710196,0.981654
161,1.754756,1.068321
162,1.733982,0.961348
163,1.842055,0.971456
164,1.885731,1.062201
165,1.617797,0.936115
166,1.680272,1.051228
167,1.777863,0.986616
168,1.871863,0.968666
169,1.927052,1.059871
170,1.569229,0.947926
171,1.604389,1.019578
172,1.594716,0.987617
173,1.782456,0.981214
174,1.821529,1.068150
175,1.803102,0.963120
176,1.913214,0.973245
177,1.966918,1.077000
178,1.689051,0.935898
179,1.749258,1.064466
180,-0.265917,1.138341
181,1.681515,4.579202
182,0.230561,1.466171
183,0.069071,1.560987
184,2.012868,6.762088
185,-0.067419,1.210508
186,-0.039243,1.312796
187,2.917301,3.717482
188,77.033112,114.057732
189,1.178823,4.385291
190,0.163386,0.323411
191,0.776985,0.080500
192,0.024641,0.035684
