feature,mean,std
0,2.825969,23.771641
1,-8.302650,7.810091
2,-15.665382,6.385972
3,-23.802229,7.294407
4,-27.472696,3.522840
5,-26.873055,3.902145
6,-22.951822,2.765182
7,-24.430662,2.415097
8,-24.566233,2.216109
9,-23.737772,2.172355
10,-22.357458,1.990821
11,-21.493980,1.929518
12,-20.183331,1.929032
13,2.981065,11.067217
14,4.020396,12.021304
15,4.537354,15.929403
16,3.997323,11.472464
17,2.929466,8.804341
18,3.251017,9.297741
19,3.813521,12.612983
20,3.511050,10.592180
21,3.311558,11.109484
22,3.580387,12.935446
23,3.753260,13.280847
24,3.788666,11.666193
25,3.285319,11.532620
26,0.211823,16.458433
27,0.540085,18.759262
28,0.535013,21.696548
29,-18.515419,21.573122
30,-34.592426,36.224098
31,-26.280861,21.387548
32,-1.173941,19.068052
33,-2.144421,19.477839
34,-1.494480,17.811218
35,-0.229981,17.862957
36,0.559664,17.057814
37,0.444197,16.779251
38,0.185810,16.012312
39,0.362477,0.091322
40,0.047084,0.024063
41,2.182930,0.426344
42,920.193054,398.565308
43,1691.314209,1249.778320
44,1336.384644,439.219421
45,0.144918,0.076959
46,0.410671,0.223247
47,0.000000,1.000000
48,0.000000,1.000000
49,0.000000,1.000000
50,0.000000,1.000000
51,0.000000,1.000000
52,0.000000,1.000000
53,0.000000,1.000000
54,0.000000,1.000000
55,0.000000,1.000000
56,0.000000,1.000000
57,0.000000,1.000000
58,0.000000,1.000000
59,0.000000,1.000000
60,765.768311,413.515320
61,746.923218,399.510498
62,759.714966,418.869507
63,766.599365,411.330872
64,778.494629,431.243439
65,771.231812,412.642059
66,755.706848,404.909363
67,768.379761,424.181000
68,761.566040,410.189301
69,741.919678,397.535370
70,752.424866,413.449310
71,762.045288,407.398193
72,775.527893,429.551361
73,1318.943848,715.314697
74,1285.267334,690.683167
75,1306.515503,722.536804
76,1319.448608,711.632568
77,1340.833862,745.903015
78,1328.531860,714.787109
79,1300.470581,698.918274
80,1323.260864,733.473755
81,1311.609741,709.221069
82,1276.949707,685.742371
83,1295.405029,713.424072
84,1311.625488,704.283752
85,1335.968994,742.102234
86,0.048651,0.023069
87,0.007375,0.006800
88,0.136479,0.105434
89,73.376213,60.957394
90,218.800049,264.675720
91,84.924149,39.488724
92,0.016685,0.009365
93,0.182786,0.137210
94,0.000000,1.000000
95,0.000000,1.000000
96,0.000000,1.000000
97,0.000000,1.000000
98,0.000000,1.000000
99,0.000000,1.000000
100,0.000000,1.000000
101,0.000000,1.000000
102,0.000000,1.000000
103,0.000000,1.000000
104,0.000000,1.000000
105,0.000000,1.000000
106,0.000000,1.000000
107,0.008433,0.040713
108,0.009288,0.036824
109,0.014286,0.045126
110,0.008515,0.038776
111,0.009595,0.029726
112,0.010519,0.028200
113,0.010223,0.044892
114,0.009769,0.032829
115,0.006286,0.032232
116,0.009732,0.042583
117,0.008902,0.033826
118,0.010958,0.044325
119,0.008895,0.031714
120,-1.230834,0.098506
121,-1.246031,0.099085
122,-1.247650,0.099776
123,-1.179438,0.106954
124,-1.197536,0.120211
125,-1.188913,0.102713
126,-1.228503,0.102272
127,-1.232668,0.101189
128,-1.234579,0.099195
129,-1.249986,0.101198
130,-1.255200,0.101239
131,-1.219662,0.100091
132,-1.226138,0.102528
133,0.219654,0.701822
134,0.554291,1.239825
135,0.348838,0.612983
136,0.285691,0.552516
137,0.063543,1.320977
138,0.160118,0.499021
139,0.246474,0.477982
140,1.123022,0.804827
141,0.000000,1.000000
142,0.000000,1.000000
143,0.000000,1.000000
144,0.000000,1.000000
145,0.000000,1.000000
146,0.000000,1.000000
147,0.000000,1.000000
148,0.000000,1.000000
149,0.000000,1.000000
150,0.000000,1.000000
151,0.000000,1.000000
152,0.000000,1.000000
153,0.000000,1.000000
154,1.708753,0.981069
155,1.807137,0.995109
156,1.842021,0.992998
157,1.570158,0.961498
158,1.651522,1.025449
159,1.623103,0.945737
160,1.711902,0.997337
161,1.740698,0.983788
162,1.741704,0.975007
163,1.861845,0.989107
164,1.883280,0.995596
165,1.626751,0.959662
166,1.677960,1.015462
167,1.776644,0.976465
168,1.892964,0.991291
169,1.923783,0.990109
170,1.574756,0.965938
171,1.607386,1.013025
172,1.590436,0.950850
173,1.781705,0.997899
174,1.805651,0.986006
175,1.807651,0.979463
176,1.934840,0.997554
177,1.963209,1.009189
178,1.699210,0.961512
179,1.748829,1.018964
180,-0.244575,1.243866
181,1.647697,4.594396
182,0.248377,1.466551
183,0.057956,1.499850
184,1.593143,5.637809
185,-0.065892,1.288692
186,-0.048992,1.287411
187,2.948149,3.662285
188,72.032349,111.184807
189,0.970628,3.022643
190,0.161308,0.325985
191,0.772739,0.083163
192,0.024073,0.034208
